Date,Region,Product_Category,Product,Units_Sold,Unit_Price,Revenue,Cost,Profit
2024-10-24,West,Food &amp; Beverage,Oat Milk,420,4.99,2095.80,1047.90,1047.90
2024-10-31,Central,Electronics,Earbuds,300,39.99,11997.00,7198.20,4798.80
2024-11-05,North,Clothing,Thermal Socks,400,9.99,3996.00,2397.60,1598.40
2024-11-12,South,Food &amp; Beverage,Honey,320,11.99,3836.80,1918.40,1918.40
2024-11-18,East,Electronics,Fitness Tracker,140,149.99,20998.60,13649.09,7349.51
2024-11-25,West,Clothing,Down Vest,120,69.99,8398.80,5459.22,2939.58
2024-11-30,Central,Food &amp; Beverage,Dried Fruit,500,5.99,2995.00,1497.50,1497.50
2024-12-05,North,Electronics,Portable Charger,220,19.99,4397.80,2638.68,1759.12
2024-12-12,South,Clothing,Cashmere Sweater,85,99.99,8499.15,5949.41,2549.75
2024-12-18,East,Food &amp; Beverage,Hot Chocolate,600,3.99,2394.00,1197.00,1197.00
2024-12-25,West,Electronics,VR Headset,40,399.99,15999.60,11199.72,4799.88
2024-12-31,Central,Clothing,New Year Hat,500,7.99,3995.00,2397.00,1598.00
2025-01-07,North,Electronics,Laptop,55,929.99,51149.45,35804.62,15344.84
2025-01-14,South,Clothing,Winter Coat,160,109.99,17598.40,10559.04,7039.36
2025-01-21,East,Food &amp; Beverage,Organic Juice,480,4.99,2395.20,1197.60,1197.60
2025-01-28,West,Electronics,Smartphone,100,699.99,69999.00,48999.30,21000.00
2025-02-04,Central,Clothing,Training Shoes,190,89.99,17098.10,10258.86,6839.24
2025-02-11,North,Food &amp; Beverage,Whey Protein,300,24.99,7497.00,4498.20,2998.80
2025-02-18,South,Electronics,Tablet,70,479.99,33599.30,21839.55,11759.76
2025-02-25,East,Clothing,Graphic Tee,350,19.99,6996.50,4197.90,2798.60
2025-03-04,West,Food &amp; Beverage,Avocado Oil,200,12.99,2598.00,1299.00,1299.00
2025-03-11,Central,Electronics,Smart Speaker,120,99.99,11998.80,7799.22,4199.58
